Salesprice,Bedrooms,Properttype,Latitude,Longitude,Location
11000000,3,Bungalow,6.619413,3.510454, Ikorodu
6500000,3,Flat,6.61307,3.265907, Ipaja
9500000,2,Bungalow,6.61307,3.265907, Ipaja
5000000,2,Bungalow,6.50837,3.384247, Lagos Mainland
14000000,5,Bungalow,6.619413,3.510454, Ikorodu
5000000,4,Duplex,6.50837,3.384247, Lagos Mainland
65000000,4,House,6.617909,3.400106, Magodo
70000000,5,House,6.474028,3.588799,Lekki Phase 2
55000000,4,House,6.426404,3.468852,Lekki Phase 1
85000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
55000000,5,Duplex,6.50837,3.384247, Lagos Mainland
65000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
7000000,4,Flat,6.619413,3.510454, Ikorodu
12000000,4,Flat,6.5,3.35, Surulere
32000000,3,Bungalow,6.538079,3.321265, Isolo
35000000,5,Duplex,6.50837,3.384247, Lagos Mainland
150000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
28000000,5,Duplex,6.617909,3.400106, Magodo
130000000,3,Duplex,6.474028,3.588799,Lekki Phase 2
20000000,4,Duplex,6.5,3.35, Surulere
65000000,5,Duplex,6.472516,3.568616, Ajah
175000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
60000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
600000000,5,Flat,6.454812,3.434691, Ikoyi
45000000,3,House,6.474028,3.588799,Lekki Phase 2
5500000,2,Flat,6.50837,3.384247, Lagos Mainland
10000000,3,Bungalow,6.633668,3.357343, Ojodu
52000000,4,Duplex,6.454812,3.434691, Ikoyi
130000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
95000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
37000000,4,House,6.474028,3.588799,Lekki Phase 2
45000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
23000000,4,Duplex,6.546609,3.238251, Alimosho
35000000,5,Duplex,6.538079,3.321265, Isolo
26000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
50000000,3,Bungalow,6.472516,3.568616, Ajah
18000000,2,Flat,6.474028,3.588799,Lekki Phase 2
56000000,4,Duplex,6.472516,3.568616, Ajah
7500000,3,Bungalow,6.561638,3.384247, Gbagada
130000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
56000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
40000000,6,House,6.535498,3.308678, Oshodi-Isolo
55000000,4,House,6.474028,3.588799,Lekki Phase 2
13800000,2,Duplex,6.472516,3.568616, Ajah
60000000,9,Flat,6.538079,3.321265, Isolo
30000000,3,Duplex,6.474028,3.588799,Lekki Phase 2
43000000,3,Flat,6.534965,3.389289, Shomolu
30000000,3,Bungalow,6.601838,3.351486, Ikeja
42000000,4,Duplex,6.561638,3.384247, Gbagada
55000000,4,House,6.474028,3.588799,Lekki Phase 2
15500000,2,Flat,6.601838,3.351486, Ikeja
40000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
45000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
5500000,3,Flat,6.61307,3.265907, Ipaja
1500000,2,Flat,6.50837,3.384247, Lagos Mainland
13000000,2,Bungalow,6.472516,3.568616, Ajah
600000000,8,House,6.454812,3.434691, Ikoyi
75000000,5,Duplex,6.474028,3.588799,Lekki Phase 2
70000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
36000000,3,Bungalow,6.426404,3.468852,Lekki Phase 1
37000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
56000000,4,House,6.426404,3.468852,Lekki Phase 1
55000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
75000000,5,Duplex,6.426404,3.468852,Lekki Phase 1
22000000,5,Duplex,6.619413,3.510454, Ikorodu
55000000,4,Duplex,6.474028,3.588799,Lekki Phase 2
75000000,5,House,6.474028,3.588799,Lekki Phase 2
35000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
145000000,4,Duplex,6.426404,3.468852,Lekki Phase 1
30000000,3,Flat,6.474028,3.588799,Lekki Phase 2
140000000,5,Duplex,6.50837,3.384247, Lagos Mainland
28000000,3,Flat,6.617909,3.400106, Magodo
34000000,2,Flat,6.474028,3.588799,Lekki Phase 2
27000000,3,Flat,6.538079,3.321265, Isolo
520000000,4,House,6.454812,3.434691, Ikoyi
33000000,3,Bungalow,6.472516,3.568616, Ajah
35000000,3,Bungalow,6.472516,3.568616, Ajah
